herbivores,barnacles,plot,date,Dens Siph,Bgrec,mussels,cover Ralfsia sp.,cover Blindigia,cover Porphyra,polysiphonia,%ephem,Tegula,notes
in,yes,23,2007-02-19,0,18,,7,,,,0,,
in,yes,24,2007-02-19,3,0,,20,,,,0,,
in,yes,25,2007-02-19,,,,,,,,,,lost
in,yes,26,2007-02-19,,,,,,,,,,lost
in,yes,27,2007-02-19,0,0,,30,,,,0,,
in,yes,28,2007-02-19,0,0,,10,,,,0,,
con,yes,29,2006-04-26,,2,1,10,,,,0,,
con,yes,30,2006-04-26,,6,0,50,,,,10,,
con,yes,31,2006-04-26,,1,0,70,,,,0,,
con,yes,32,2006-04-26,,0,0,100,,,,0,,
con,yes,33,2006-04-26,,0,0,40,,,,0,,
con,yes,34,2006-04-26,,2,0,70,,,,1,,
con,yes,29,2006-05-12,,0,,10,,,,0,,
con,yes,30,2006-05-12,,3,,50,,,,5,,
con,yes,31,2006-05-12,,0,,70,,,,0,,
con,yes,32,2006-05-12,,0,,100,,,,0,,
con,yes,33,2006-05-12,,1,,0,,,,0,,
con,yes,34,2006-05-12,,2,,80,,,,0,,
con,yes,29,2006-06-12,,0,,20,,,,0,,
con,yes,30,2006-06-12,,4,,80,,,,0,,
con,yes,31,2006-06-12,,0,,70,,,,0,,
con,yes,32,2006-06-12,,0,,100,,,,1,,
con,yes,33,2006-06-12,,0,,0,,,,0,,
con,yes,34,2006-06-12,,0,,90,,,,1,,
con,yes,29,2006-08-09,,0,,25,,,,5,,
con,yes,30,2006-08-09,,0,,100,,,,10,,
con,yes,31,2006-08-09,,0,,95,,,,1,,
con,yes,32,2006-08-09,,0,,90,,,,1,,
con,yes,33,2006-08-09,,0,,50,,,,0,,
con,yes,34,2006-08-09,,1,,100,,,,1,,
con,yes,29,2006-09-09,,0,,20,,,,0,,
con,yes,30,2006-09-09,,0,,80,,,,10,,
con,yes,31,2006-09-09,,0,,95,,,,1,,
con,yes,32,2006-09-09,,0,,85,,,,3,,
con,yes,33,2006-09-09,,0,,70,,,,0,,
con,yes,34,2006-09-09,,0,,95,,,,1,,
con,yes,29,2006-10-07,2,0,1,5,,,,0,,
con,yes,30,2006-10-07,1,0,0,80,,,,1,,
con,yes,31,2006-10-07,0,0,0,50,,,,0,,
con,yes,32,2006-10-07,0,0,0,40,,,,0,,
con,yes,33,2006-10-07,0,0,0,5,,,,0,,
con,yes,34,2006-10-07,0,0,0,80,,,,0,,
con,yes,29,2006-11-09,0,0,,5,,,,0,,
con,yes,30,2006-11-09,0,0,,70,,,,1,,
con,yes,31,2006-11-09,0,0,,50,,,,0,,
con,yes,32,2006-11-09,2,0,,30,,,,0,,
con,yes,33,2006-11-09,0,0,,40,,,,1,,
con,yes,34,2006-11-09,0,0,,80,,,,0,,
con,yes,29,2006-12-04,,0,,5,,,,0,,
con,yes,30,2006-12-04,,0,,50,,,,0,,
con,yes,31,2006-12-04,,0,,40,,,,0,,
con,yes,32,2006-12-04,,1,,10,,,,0,,
con,yes,33,2006-12-04,,0,,40,,,,0,,
con,yes,34,2006-12-04,,2,,75,,,,0,,
con,yes,29,2007-01-06,1,0,,3,,,,0,,
con,yes,30,2007-01-06,0,0,,40,,,,0,,
con,yes,31,2007-01-06,0,0,,30,,,,0,,
con,yes,32,2007-01-06,0,0,,5,,,,0,,
con,yes,33,2007-01-06,0,0,,30,,,,0,,
con,yes,34,2007-01-06,0,0,,50,,,,0,,
con,yes,29,2007-02-19,,0,,3,,,,0,,
con,yes,30,2007-02-19,,0,,10,,,,0,,
con,yes,31,2007-02-19,,0,,10,,,,0,,
con,yes,32,2007-02-19,,0,,5,,,,0,,
con,yes,33,2007-02-19,,0,,40,,,,0,,
con,yes,34,2007-02-19,,1,,60,,,,0,,
