date,block,barnacles,herbivores,fucus_raw,fucus_cover,plot
2006-10-06,B,no,con,0,0,7
2006-10-06,B,no,in,0,0,8
2006-10-06,B,no,out,0,0,9
2006-10-06,B,yes,con,3,0.083333333,10
2006-10-06,B,yes,in,0.5,0.013888889,11
2006-10-06,B,yes,out,7,0.194444444,12
2006-10-06,C,no,con,0,0,13
2006-10-06,C,no,in,0,0,14
2006-10-06,C,no,out,0,0,15
2006-10-06,C,yes,con,0,0,16
2006-10-06,C,yes,in,0,0,17
2006-10-06,C,yes,out,0,0,18
2006-10-06,D,no,con,0,0,19
2006-10-06,D,no,in,0,0,20
2006-10-06,D,no,out,0,0,21
2006-10-06,D,yes,con,0,0,22
2006-10-06,D,yes,in,0,0,23
2006-10-06,D,yes,out,0,0,24
2006-10-06,E,no,con,0,0,25
2006-10-06,E,no,in,0,0,26
2006-10-06,E,no,out,0,0,27
2006-10-06,E,yes,con,3,0.083333333,28
2006-10-06,E,yes,in,1,0.027777778,29
2006-10-06,E,yes,out,1,0.027777778,30
2006-10-06,F,no,con,0,0,31
2006-10-06,F,no,in,0,0,32
2006-10-06,F,no,out,0,0,33
2006-10-06,F,yes,con,0,0,34
2006-10-06,F,yes,in,0,0,35
2006-10-06,F,yes,out,3,0.083333333,36
2006-12-02,A,no,con,0,0,1
2006-12-02,A,no,in,0,0,2
2006-12-02,A,no,out,0,0,3
2006-12-02,A,yes,con,0,0,4
2006-12-02,A,yes,in,0,0,5
2006-12-02,A,yes,out,0,0,6
2006-12-02,B,no,con,2,0.038461538,7
2006-12-02,B,no,in,0,0,8
2006-12-02,B,no,out,0,0,9
2006-12-02,B,yes,con,5,0.096153846,10
2006-12-02,B,yes,in,3,0.057692308,11
2006-12-02,B,yes,out,20,0.384615385,12
2006-12-02,C,no,con,0,0,13
2006-12-02,C,no,in,0.5,0.009615385,14
2006-12-02,C,no,out,0,0,15
2006-12-02,C,yes,con,0,0,16
2006-12-02,C,yes,in,3,0.057692308,17
2006-12-02,C,yes,out,1,0.019230769,18
2006-12-02,D,no,con,0,0,19
2006-12-02,D,no,in,0,0,20
2006-12-02,D,no,out,0,0,21
2006-12-02,D,yes,con,0,0,22
2006-12-02,D,yes,in,3,0.057692308,23
2006-12-02,D,yes,out,0,0,24
2006-12-02,E,no,con,0,0,25
2006-12-02,E,no,in,0,0,26
2006-12-02,E,no,out,0,0,27
2006-12-02,E,yes,con,5,0.096153846,28
2006-12-02,E,yes,in,0,0,29
2006-12-02,E,yes,out,4,0.076923077,30
2006-12-02,F,no,con,0,0,31
2006-12-02,F,no,in,0,0,32
2006-12-02,F,no,out,0,0,33
2006-12-02,F,yes,con,0,0,34
2006-12-02,F,yes,in,3,0.057692308,35
2006-12-02,F,yes,out,12,0.230769231,36
2007-01-30,A,no,con,0,0,1
2007-01-30,A,no,in,0,0,2
2007-01-30,A,no,out,0,0,3
2007-01-30,A,yes,con,0.5,0.009615385,4
2007-01-30,A,yes,in,0,0,5
2007-01-30,A,yes,out,0,0,6
2007-01-30,B,no,con,1.5,0.028846154,7
2007-01-30,B,no,in,0,0,8
2007-01-30,B,no,out,0,0,9
2007-01-30,B,yes,con,5,0.096153846,10
2007-01-30,B,yes,in,1,0.019230769,11
2007-01-30,B,yes,out,17,0.326923077,12
2007-01-30,C,no,con,0,0,13
2007-01-30,C,no,in,0,0,14
2007-01-30,C,no,out,1,0.019230769,15
2007-01-30,C,yes,con,0,0,16
2007-01-30,C,yes,in,10,0.192307692,17
2007-01-30,C,yes,out,1,0.019230769,18
2007-01-30,D,no,con,0,0,19
2007-01-30,D,no,in,0,0,20
2007-01-30,D,no,out,0,0,21
2007-01-30,D,yes,con,0,0,22
2007-01-30,D,yes,in,4,0.076923077,23
2007-01-30,D,yes,out,0,0,24
2007-01-30,E,no,con,0,0,25
2007-01-30,E,no,in,0,0,26
2007-01-30,E,no,out,0,0,27
2007-01-30,E,yes,con,6,0.115384615,28
2007-01-30,E,yes,in,0,0,29
2007-01-30,E,yes,out,8,0.153846154,30
2007-01-30,F,no,con,0,0,31
2007-01-30,F,no,in,0,0,32
2007-01-30,F,no,out,0,0,33
2007-01-30,F,yes,con,0,0,34
2007-01-30,F,yes,in,3,0.057692308,35
2007-01-30,F,yes,out,9,0.173076923,36
2007-04-06,A,no,con,0,0,1
2007-04-06,A,no,in,0,0,2
2007-04-06,A,no,out,0,0,3
2007-04-06,A,yes,con,1,0.027777778,4
2007-04-06,A,yes,in,0,0,5
2007-04-06,A,yes,out,0,0,6
2007-04-06,B,no,con,0,0,7
2007-04-06,B,no,in,0,0,8
2007-04-06,B,no,out,3,0.083333333,9
2007-04-06,B,yes,con,11,0.305555556,10
2007-04-06,B,yes,in,2,0.055555556,11
2007-04-06,B,yes,out,19,0.527777778,12
2007-04-06,C,no,con,0,0,13
2007-04-06,C,no,in,0.5,0.013888889,14
2007-04-06,C,no,out,1.5,0.041666667,15
2007-04-06,C,yes,con,3,0.083333333,16
2007-04-06,C,yes,in,26,0.722222222,17
2007-04-06,C,yes,out,4,0.111111111,18
2007-04-06,D,no,con,0,0,19
2007-04-06,D,no,in,0,0,20
2007-04-06,D,no,out,0,0,21
2007-04-06,D,yes,con,3,0.083333333,22
2007-04-06,D,yes,in,17,0.472222222,23
2007-04-06,D,yes,out,0,0,24
2007-04-06,E,no,con,0,0,25
2007-04-06,E,no,in,0,0,26
2007-04-06,E,no,out,0,0,27
2007-04-06,E,yes,con,19,0.527777778,28
2007-04-06,E,yes,in,21,0.583333333,29
2007-04-06,E,yes,out,27,0.75,30
2007-04-06,F,no,con,0,0,31
2007-04-06,F,no,in,0,0,32
2007-04-06,F,no,out,0,0,33
2007-04-06,F,yes,con,0,0,34
2007-04-06,F,yes,in,0,0,35
2007-04-06,F,yes,out,12,0.333333333,36
2007-06-05,A,no,con,0,0,1
2007-06-05,A,no,in,0,0,2
2007-06-05,A,no,out,0,0,3
2007-06-05,A,yes,con,3,0.057692308,4
2007-06-05,A,yes,in,0,0,5
2007-06-05,A,yes,out,0,0,6
2007-06-05,B,no,con,0,0,7
2007-06-05,B,no,in,0,0,8
2007-06-05,B,no,out,0,0,9
2007-06-05,B,yes,con,8,0.153846154,10
2007-06-05,B,yes,in,2,0.038461538,11
2007-06-05,B,yes,out,32,0.615384615,12
2007-06-05,C,no,con,0,0,13
2007-06-05,C,no,in,1.5,0.028846154,14
2007-06-05,C,no,out,3,0.057692308,15
2007-06-05,C,yes,con,5,0.096153846,16
2007-06-05,C,yes,in,47,0.903846154,17
2007-06-05,C,yes,out,10,0.192307692,18
2007-06-05,D,no,con,0,0,19
2007-06-05,D,no,in,0,0,20
2007-06-05,D,no,out,0,0,21
2007-06-05,D,yes,con,2,0.038461538,22
2007-06-05,D,yes,in,47,0.903846154,23
2007-06-05,D,yes,out,1,0.019230769,24
2007-06-05,E,no,con,0,0,25
2007-06-05,E,no,in,0,0,26
2007-06-05,E,no,out,0,0,27
2007-06-05,E,yes,con,18,0.346153846,28
2007-06-05,E,yes,in,15,0.288461538,29
2007-06-05,E,yes,out,34,0.653846154,30
2007-06-05,F,no,con,0,0,31
2007-06-05,F,no,in,0,0,32
2007-06-05,F,no,out,0,0,33
2007-06-05,F,yes,con,0,0,34
2007-06-05,F,yes,in,1,0.019230769,35
2007-06-05,F,yes,out,0,0,36
2007-07-17,A,no,con,0,0,1
2007-07-17,A,no,in,0,0,2
2007-07-17,A,no,out,0,0,3
2007-07-17,A,yes,con,3,0.057692308,4
2007-07-17,A,yes,in,0,0,5
2007-07-17,A,yes,out,0,0,6
2007-07-17,B,no,con,0,0,7
2007-07-17,B,no,in,0,0,8
2007-07-17,B,no,out,0,0,9
2007-07-17,B,yes,con,9,0.173076923,10
2007-07-17,B,yes,in,2,0.038461538,11
2007-07-17,B,yes,out,34,0.653846154,12
2007-07-17,C,no,con,0,0,13
2007-07-17,C,no,in,2,0.038461538,14
2007-07-17,C,no,out,6,0.115384615,15
2007-07-17,C,yes,con,9,0.173076923,16
2007-07-17,C,yes,in,49,0.942307692,17
2007-07-17,C,yes,out,13,0.25,18
2007-07-17,D,no,con,0,0,19
2007-07-17,D,no,in,0,0,20
2007-07-17,D,no,out,0,0,21
2007-07-17,D,yes,con,1.5,0.028846154,22
2007-07-17,D,yes,in,25,0.480769231,23
2007-07-17,D,yes,out,1,0.019230769,24
2007-07-17,E,no,con,0,0,25
2007-07-17,E,no,in,0,0,26
2007-07-17,E,no,out,0,0,27
2007-07-17,E,yes,con,3,0.057692308,28
2007-07-17,E,yes,in,2,0.038461538,29
2007-07-17,E,yes,out,30,0.576923077,30
2007-07-17,F,no,con,0,0,31
2007-07-17,F,no,in,0,0,32
2007-07-17,F,no,out,0,0,33
2007-07-17,F,yes,con,10,0.192307692,34
2007-07-17,F,yes,in,3,0.057692308,35
2007-07-17,F,yes,out,0,0,36
